Date,Sex,AgeGroup,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200301,Female,0 to 59,0,0,0.0,0,0,0.0,339,16.628724723970528
20200301,Female,15 to 19,0,0,0.0,0,0,0.0,9,6.525853255313132
20200301,Female,20 to 24,0,0,0.0,0,0,0.0,45,26.71368274830368
20200301,Female,25 to 44,0,0,0.0,0,0,0.0,124,17.1539874720556
20200301,Female,45 to 64,0,0,0.0,0,0,0.0,145,18.77824831319528
20200301,Female,60+,1,1,0.1312082839662164,0,0,0.0,80,10.49666271729732
20200301,Female,65 to 74,1,1,0.326985455686931,0,0,0.0,35,11.444490949042589
20200301,Female,75 to 84,0,0,0.0,0,0,0.0,7,3.645263760870697
20200301,Female,85plus,0,0,0.0,0,0,0.0,5,6.066120715802245
20200301,Female,Total,1,1,0.035704237521726,0,0,0.0,419,14.960075521603205
20200301,Male,0 to 14,0,0,0.0,0,0,0.0,76,17.246035113835177
20200301,Male,0 to 59,1,2,0.0990731704900654,0,0,0.0,373,18.477146296397205
20200301,Male,15 to 19,0,0,0.0,0,0,0.0,10,6.934476135000382
20200301,Male,20 to 24,0,0,0.0,0,0,0.0,23,13.271629871553705
20200301,Male,25 to 44,0,0,0.0,0,0,0.0,138,19.479392073581288
20200301,Male,45 to 64,1,2,0.2767093721464346,0,0,0.0,151,20.89155759705581
20200301,Male,60+,0,0,0.0,0,0,0.0,72,11.136856498510443
20200301,Male,65 to 74,0,0,0.0,0,0,0.0,38,13.550183818941017
20200301,Male,75 to 84,0,0,0.0,0,0,0.0,7,4.683026037624769
20200301,Male,85plus,0,0,0.0,0,0,0.0,2,4.358627903935841
20200301,Male,Total,1,2,0.0750409348299497,0,0,0.0,445,16.696607999663815
20200301,Total,0 to 14,0,0,0.0,0,0,0.0,125,14.538433803603208
20200301,Total,0 to 59,1,2,0.0492932457655253,0,0,0.0,714,17.597688738292547
20200301,Total,15 to 19,0,0,0.0,0,0,0.0,19,6.734722812987381
20200301,Total,20 to 24,0,0,0.0,0,0,0.0,69,20.1899021228658
20200301,Total,25 to 44,0,0,0.0,0,0,0.0,263,18.37483974414957
20200301,Total,45 to 64,1,2,0.1337837385865748,0,0,0.0,296,19.799993310813072
20200301,Total,60+,1,1,0.0709900053171514,0,0,0.0,152,10.790480808207011
20200301,Total,65 to 74,1,1,0.170571910558913,0,0,0.0,73,12.451749470800648
20200301,Total,75 to 84,0,0,0.0,0,0,0.0,14,4.099488735190597
20200301,Total,85plus,0,0,0.0,0,0,0.0,7,5.455494852350929
20200301,Total,Total,2,3,0.0548847420417124,0,0,0.0,866,15.84339553604098
20200302,Female,0 to 14,0,0,0.0,0,0,0.0,73,17.417903218494473
20200302,Female,0 to 59,0,0,0.0,0,0,0.0,410,20.111436981793265
20200302,Female,15 to 19,0,0,0.0,0,0,0.0,10,7.250948061459035
20200302,Female,20 to 24,0,0,0.0,0,0,0.0,51,30.275507114744173
20200302,Female,25 to 44,0,0,0.0,0,0,0.0,145,20.059098253613406
20200302,Female,45 to 64,0,0,0.0,0,0,0.0,170,22.015877332711707
20200302,Female,60+,0,1,0.1312082839662164,0,0,0.0,102,13.383244964554082
20200302,Female,65 to 74,0,1,0.326985455686931,0,0,0.0,44,14.387360050224968
20200302,Female,75 to 84,0,0,0.0,0,0,0.0,11,5.728271624225381
20200302,Female,85plus,0,0,0.0,0,0,0.0,8,9.705793145283591
20200302,Female,Total,0,1,0.035704237521726,0,0,0.0,512,18.280569611123727
20200302,Male,0 to 14,0,0,0.0,0,0,0.0,98,22.23830843626115
20200302,Male,0 to 59,1,3,0.1486097557350981,0,0,0.0,447,22.142853604529627
20200302,Male,15 to 19,0,0,0.0,0,0,0.0,12,8.321371362000457
20200302,Male,20 to 24,0,0,0.0,0,0,0.0,25,14.425684642993156
20200302,Male,25 to 44,1,1,0.1411550150259513,0,0,0.0,159,22.443647389126262
20200302,Male,45 to 64,0,2,0.2767093721464346,0,0,0.0,184,25.457262237471983
20200302,Male,60+,0,0,0.0,0,0,0.0,98,15.158499122972552
20200302,Male,65 to 74,0,0,0.0,0,0,0.0,54,19.255524374284605
20200302,Male,75 to 84,0,0,0.0,0,0,0.0,9,6.021033476946132
20200302,Male,85plus,0,0,0.0,0,0,0.0,4,8.717255807871682
20200302,Male,Total,1,3,0.1125614022449246,0,0,0.0,545,20.448654741161302
20200302,Total,0 to 14,0,0,0.0,0,0,0.0,171,19.888577443329183
20200302,Total,0 to 59,1,3,0.073939868648288,0,0,0.0,859,21.17144905629313
20200302,Total,15 to 19,0,0,0.0,0,0,0.0,22,7.798100099248547
20200302,Total,20 to 24,0,0,0.0,0,0,0.0,77,22.530760340009653
20200302,Total,25 to 44,1,1,0.0698663108142569,0,0,0.0,305,21.30922479834836
20200302,Total,45 to 64,0,2,0.1337837385865748,0,0,0.0,354,23.67972172982374
20200302,Total,60+,0,1,0.0709900053171514,0,0,0.0,200,14.198001063430278
20200302,Total,65 to 74,0,1,0.170571910558913,0,0,0.0,98,16.716047234773473
20200302,Total,75 to 84,0,0,0.0,0,0,0.0,20,5.85641247884371
20200302,Total,85plus,0,0,0.0,0,0,0.0,12,9.35227688974445
20200302,Total,Total,1,4,0.0731796560556165,0,0,0.0,1059,19.37431394072448
20200303,Female,0 to 14,0,0,0.0,0,0,0.0,88,20.99692442777416
20200303,Female,0 to 59,0,0,0.0,0,0,0.0,497,24.37898580475915
20200303,Female,15 to 19,0,0,0.0,0,0,0.0,15,10.876422092188552
20200303,Female,20 to 24,0,0,0.0,0,0,0.0,57,33.83733148118466
20200303,Female,25 to 44,0,0,0.0,0,0,0.0,182,25.17762677350096
20200303,Female,45 to 64,0,0,0.0,0,0,0.0,200,25.90103215613142
20200303,Female,60+,0,1,0.1312082839662164,0,0,0.0,124,16.269827211810846
20200303,Female,65 to 74,0,1,0.326985455686931,0,0,0.0,56,18.31118551846814
20200303,Female,75 to 84,0,0,0.0,0,0,0.0,12,6.249023590064053
20200303,Female,85plus,0,0,0.0,0,0,0.0,11,13.345465574764935
20200303,Female,Total,0,1,0.035704237521726,0,0,0.0,621,22.172331500991863
20200303,Male,0 to 14,0,0,0.0,0,0,0.0,128,29.04595387593293
20200303,Male,0 to 59,3,6,0.2972195114701963,0,0,0.0,532,26.35346335035741
20200303,Male,15 to 19,0,0,0.0,0,0,0.0,17,11.788609429500648
20200303,Male,20 to 24,0,0,0.0,0,0,0.0,31,17.887848957311515
20200303,Male,25 to 44,2,3,0.423465045077854,0,0,0.0,187,26.3959878098529
20200303,Male,45 to 64,1,3,0.4150640582196519,0,0,0.0,209,28.91612938930241
20200303,Male,60+,0,0,0.0,0,0,0.0,119,18.40674893503809
20200303,Male,65 to 74,0,0,0.0,0,0,0.0,62,22.1081946519564
20200303,Male,75 to 84,0,0,0.0,0,0,0.0,12,8.028044635928175
20200303,Male,85plus,0,0,0.0,0,0,0.0,5,10.896569759839602
20200303,Male,Total,3,6,0.2251228044898492,0,0,0.0,651,24.42582428714864
20200303,Total,0 to 14,0,0,0.0,0,0,0.0,216,25.12241361262634
20200303,Total,0 to 59,3,6,0.147879737296576,0,0,0.0,1031,25.41066819212832
20200303,Total,15 to 19,0,0,0.0,0,0,0.0,32,11.342691053452432
20200303,Total,20 to 24,0,0,0.0,0,0,0.0,89,26.042047665725445
20200303,Total,25 to 44,2,3,0.2095989324427707,0,0,0.0,370,25.850535001275063
20200303,Total,45 to 64,1,3,0.2006756078798622,0,0,0.0,409,27.358774540954546
20200303,Total,60+,0,1,0.0709900053171514,0,0,0.0,243,17.25057129206779
20200303,Total,65 to 74,0,1,0.170571910558913,0,0,0.0,118,20.12748544595173
20200303,Total,75 to 84,0,0,0.0,0,0,0.0,24,7.027694974612452
20200303,Total,85plus,0,0,0.0,0,0,0.0,16,12.469702519659265
20200303,Total,Total,3,7,0.1280643980973289,0,0,0.0,1274,23.30772045371387
20200304,Female,0 to 14,0,0,0.0,0,0,0.0,106,25.291749878909783
20200304,Female,0 to 59,3,3,0.1471568559643409,0,0,0.0,562,27.567384350653203
20200304,Female,15 to 19,0,0,0.0,0,0,0.0,18,13.051706510626264
20200304,Female,20 to 24,0,0,0.0,0,0,0.0,64,37.9927932420319
20200304,Female,25 to 44,2,2,0.2766772172912193,0,0,0.0,203,28.082737555058767
20200304,Female,45 to 64,1,1,0.1295051607806571,0,0,0.0,221,28.620640532525226
20200304,Female,60+,0,1,0.1312082839662164,0,0,0.0,143,18.76278460716896
20200304,Female,65 to 74,0,1,0.326985455686931,0,0,0.0,63,20.600083708276657
20200304,Female,75 to 84,0,0,0.0,0,0,0.0,16,8.332031453418736
20200304,Female,85plus,0,0,0.0,0,0,0.0,14,16.985138004246284
20200304,Female,Total,3,4,0.1428169500869041,0,0,0.0,705,25.17148745281685
20200304,Male,0 to 14,0,0,0.0,0,0,0.0,148,33.58438416904745
20200304,Male,0 to 59,3,9,0.4458292672052944,0,0,0.0,597,29.57334139128453
20200304,Male,15 to 19,0,0,0.0,0,0,0.0,22,15.255847497000838
20200304,Male,20 to 24,0,0,0.0,0,0,0.0,38,21.9270406573496
20200304,Male,25 to 44,2,5,0.7057750751297567,0,0,0.0,208,29.360243125397883
20200304,Male,45 to 64,1,4,0.5534187442928692,0,0,0.0,232,32.09828716898642
20200304,Male,60+,0,0,0.0,0,0,0.0,147,22.737748684458825
20200304,Male,65 to 74,0,0,0.0,0,0,0.0,70,24.96086492962819
20200304,Male,75 to 84,0,0,0.0,0,0,0.0,21,14.049078112874309
20200304,Male,85plus,0,0,0.0,0,0,0.0,5,10.896569759839602
20200304,Male,Total,3,9,0.3376842067347738,0,0,0.0,744,27.915227756741302
20200304,Total,0 to 14,0,0,0.0,0,0,0.0,254,29.542097488921712
20200304,Total,0 to 59,6,12,0.295759474593152,0,0,0.0,1161,28.61472916688746
20200304,Total,15 to 19,0,0,0.0,0,0,0.0,40,14.17836381681554
20200304,Total,20 to 24,0,0,0.0,0,0,0.0,103,30.138549545727205
20200304,Total,25 to 44,4,7,0.4890641756997984,0,0,0.0,412,28.78492005547385
20200304,Total,45 to 64,2,5,0.334459346466437,0,0,0.0,453,30.30201678985919
20200304,Total,60+,0,1,0.0709900053171514,0,0,0.0,290,20.587101541973905
20200304,Total,65 to 74,0,1,0.170571910558913,0,0,0.0,133,22.686064104335426
20200304,Total,75 to 84,0,0,0.0,0,0,0.0,37,10.834363085860865
20200304,Total,85plus,0,0,0.0,0,0,0.0,19,14.807771742095376
20200304,Total,Total,6,13,0.2378338821807537,0,0,0.0,1451,26.5459202341749
20200305,Female,0 to 14,0,0,0.0,0,0,0.0,130,31.01818381375728
20200305,Female,0 to 59,1,4,0.1962091412857879,0,0,0.0,628,30.804835181868704
20200305,Female,15 to 19,0,0,0.0,0,0,0.0,21,15.226990929063977
20200305,Female,20 to 24,1,1,0.5936373944067485,0,0,0.0,68,40.3673428196589
20200305,Female,25 to 44,0,2,0.2766772172912193,0,0,0.0,226,31.264525553907788
20200305,Female,45 to 64,0,1,0.1295051607806571,0,0,0.0,243,31.46975406969968
20200305,Female,60+,0,1,0.1312082839662164,0,0,0.0,166,21.78057513839193
20200305,Female,65 to 74,0,1,0.326985455686931,0,0,0.0,72,23.542952809459035
20200305,Female,75 to 84,0,0,0.0,0,0,0.0,20,10.41503931677342
20200305,Female,85plus,0,0,0.0,0,0,0.0,14,16.985138004246284
20200305,Female,Total,1,5,0.1785211876086301,0,0,0.0,794,28.34916459225047
20200305,Male,0 to 14,0,0,0.0,0,0,0.0,172,39.03050052078488
20200305,Male,0 to 59,1,10,0.4953658524503271,0,0,0.0,670,33.189512114171926
20200305,Male,15 to 19,0,0,0.0,0,0,0.0,24,16.642742724000914
20200305,Male,20 to 24,0,0,0.0,0,0,0.0,39,22.504068043069324
20200305,Male,25 to 44,0,5,0.7057750751297567,0,0,0.0,234,33.03027351607262
20200305,Male,45 to 64,1,5,0.6917734303660865,0,0,0.0,257,35.55715432081684
20200305,Male,60+,0,0,0.0,0,0,0.0,165,25.521962809086435
20200305,Male,65 to 74,0,0,0.0,0,0,0.0,74,26.38720006846409
20200305,Male,75 to 84,0,0,0.0,0,0,0.0,29,19.40110787015976
20200305,Male,85plus,0,0,0.0,0,0,0.0,6,13.075883711807524
20200305,Male,Total,1,10,0.3752046741497487,0,0,0.0,835,31.32959029150401
20200305,Total,0 to 14,0,0,0.0,0,0,0.0,302,35.12485606950535
20200305,Total,0 to 59,2,14,0.3450527203586773,0,0,0.0,1300,32.04060974759147
20200305,Total,15 to 19,0,0,0.0,0,0,0.0,45,15.950659293917482
20200305,Total,20 to 24,1,1,0.2926072771429825,0,0,0.0,108,31.60158593144212
20200305,Total,25 to 44,0,7,0.4890641756997984,0,0,0.0,461,32.20836928537244
20200305,Total,45 to 64,1,6,0.4013512157597244,0,0,0.0,500,33.4459346466437
20200305,Total,60+,0,1,0.0709900053171514,0,0,0.0,331,23.497691759977112
20200305,Total,65 to 74,0,1,0.170571910558913,0,0,0.0,146,24.903498941601296
20200305,Total,75 to 84,0,0,0.0,0,0,0.0,49,14.34821057316709
20200305,Total,85plus,0,0,0.0,0,0,0.0,20,15.58712814957408
20200305,Total,Total,2,15,0.274423710208562,0,0,0.0,1631,29.83900475667764
20200306,Female,0 to 14,0,0,0.0,0,0,0.0,155,36.98321916255676
20200306,Female,0 to 59,3,7,0.3433659972501289,0,0,0.0,712,34.925227148870256
20200306,Female,15 to 19,0,0,0.0,0,0,0.0,22,15.95208573520988
20200306,Female,20 to 24,1,2,1.187274788813497,0,0,0.0,77,45.71007936931964
20200306,Female,25 to 44,1,3,0.415015825936829,0,0,0.0,244,33.75462050952876
20200306,Female,45 to 64,1,2,0.2590103215613142,0,0,0.0,277,35.87292953624202
20200306,Female,60+,0,1,0.1312082839662164,0,0,0.0,187,24.535949101682487
20200306,Female,65 to 74,0,1,0.326985455686931,0,0,0.0,80,26.15883645495448
20200306,Female,75 to 84,0,0,0.0,0,0,0.0,27,14.060303077644118
20200306,Female,85plus,0,0,0.0,0,0,0.0,17,20.62481043372763
20200306,Female,Total,3,8,0.2856339001738082,0,0,0.0,899,32.0981095320317
20200306,Male,0 to 14,0,0,0.0,0,0,0.0,195,44.24969535786658
20200306,Male,0 to 59,2,12,0.5944390229403926,0,0,0.0,742,36.75614625181428
20200306,Male,15 to 19,0,0,0.0,0,0,0.0,27,18.72308556450103
20200306,Male,20 to 24,0,0,0.0,0,0,0.0,42,24.235150200228503
20200306,Male,25 to 44,1,6,0.846930090155708,0,0,0.0,255,35.99452883161759
20200306,Male,45 to 64,1,6,0.8301281164393038,0,0,0.0,282,39.01602147264728
20200306,Male,60+,1,1,0.1546785624793117,0,0,0.0,189,29.23424830858992
20200306,Male,65 to 74,1,1,0.3565837847089741,0,0,0.0,83,29.59645413084485
20200306,Male,75 to 84,0,0,0.0,0,0,0.0,38,25.42214134710589
20200306,Male,85plus,0,0,0.0,0,0,0.0,9,19.613825567711284
20200306,Male,Total,3,13,0.4877660763946733,0,0,0.0,931,34.9315551633416
20200306,Total,0 to 14,0,0,0.0,0,0,0.0,350,40.70761465008897
20200306,Total,0 to 59,5,19,0.4682858347724907,0,0,0.0,1456,35.88548291730245
20200306,Total,15 to 19,0,0,0.0,0,0,0.0,49,17.368495675599036
20200306,Total,20 to 24,1,2,0.5852145542859651,0,0,0.0,120,35.11287325715791
20200306,Total,25 to 44,2,9,0.6287967973283123,0,0,0.0,500,34.93315540712846
20200306,Total,45 to 64,2,8,0.5351349543462992,0,0,0.0,559,37.39255493494765
20200306,Total,60+,1,2,0.1419800106343028,0,0,0.0,376,26.692241999248925
20200306,Total,65 to 74,1,2,0.341143821117826,0,0,0.0,163,27.803221421102812
20200306,Total,75 to 84,0,0,0.0,0,0,0.0,65,19.03334055624206
20200306,Total,85plus,0,0,0.0,0,0,0.0,26,20.263266594446307
20200306,Total,Total,6,21,0.3841931942919868,0,0,0.0,1832,33.51628247347237
20200307,Female,0 to 14,0,0,0.0,0,0,0.0,168,40.085037543932486
20200307,Female,0 to 59,2,9,0.4414705678930228,0,0,0.0,767,37.62310284154984
20200307,Female,15 to 19,0,0,0.0,0,0,0.0,24,17.402275347501686
20200307,Female,20 to 24,0,2,1.187274788813497,0,0,0.0,82,48.67826634135337
20200307,Female,25 to 44,0,3,0.415015825936829,0,0,0.0,263,36.38305407379535
20200307,Female,45 to 64,2,4,0.5180206431226284,0,0,0.0,298,38.59253791263582
20200307,Female,60+,0,1,0.1312082839662164,0,0,0.0,202,26.50407336117573
20200307,Female,65 to 74,0,1,0.326985455686931,0,0,0.0,89,29.101705556136864
20200307,Female,75 to 84,0,0,0.0,0,0,0.0,27,14.060303077644118
20200307,Female,85plus,0,0,0.0,0,0,0.0,18,21.83803457688808
20200307,Female,Total,2,10,0.3570423752172603,0,0,0.0,969,34.59740615855252
20200307,Male,0 to 14,0,0,0.0,0,0,0.0,208,47.199675048391015
20200307,Male,0 to 59,3,15,0.7430487786754908,0,0,0.0,787,38.98529258784075
20200307,Male,15 to 19,0,0,0.0,0,0,0.0,27,18.72308556450103
20200307,Male,20 to 24,0,0,0.0,0,0,0.0,44,25.389204971667954
20200307,Male,25 to 44,2,8,1.1292401202076108,0,0,0.0,271,38.25300907203282
20200307,Male,45 to 64,1,7,0.9684828025125212,0,0,0.0,298,41.22969644981876
20200307,Male,60+,1,2,0.3093571249586235,0,0,0.0,202,31.24506962082097
20200307,Male,65 to 74,1,2,0.7131675694179482,0,0,0.0,87,31.022789269680757
20200307,Male,75 to 84,0,0,0.0,0,0,0.0,43,28.767159945409293
20200307,Male,85plus,0,0,0.0,0,0,0.0,11,23.97245347164713
20200307,Male,Total,4,17,0.6378479460545727,0,0,0.0,989,37.10774227341015
20200307,Total,0 to 14,0,0,0.0,0,0,0.0,376,43.73160888123845
20200307,Total,0 to 59,5,24,0.5915189491863041,0,0,0.0,1556,38.35014520557871
20200307,Total,15 to 19,0,0,0.0,0,0,0.0,51,18.07741386643981
20200307,Total,20 to 24,0,2,0.5852145542859651,0,0,0.0,127,37.161124197158784
20200307,Total,25 to 44,2,11,0.7685294189568261,0,0,0.0,535,37.37847628562745
20200307,Total,45 to 64,3,11,0.7358105622261614,0,0,0.0,596,39.867554098799296
20200307,Total,60+,1,3,0.2129700159514542,0,0,0.0,404,28.679962148129164
20200307,Total,65 to 74,1,3,0.5117157316767389,0,0,0.0,176,30.020656258368685
20200307,Total,75 to 84,0,0,0.0,0,0,0.0,70,20.497443675952987
20200307,Total,85plus,0,0,0.0,0,0,0.0,29,22.60133581688242
20200307,Total,Total,6,27,0.4939626783754116,0,0,0.0,1960,35.858031467252104
20200308,Female,0 to 14,0,0,0.0,0,0,0.0,178,42.47105168345228
20200308,Female,0 to 59,0,9,0.4414705678930228,0,0,0.0,800,39.24182825715759
20200308,Female,15 to 19,0,0,0.0,0,0,0.0,29,21.027749378231203
20200308,Female,20 to 24,0,2,1.187274788813497,0,0,0.0,83,49.27190373576013
20200308,Female,25 to 44,0,3,0.415015825936829,0,0,0.0,276,38.18145598618828
20200308,Female,45 to 64,0,4,0.5180206431226284,0,0,0.0,307,39.75808435966174
20200308,Female,60+,0,1,0.1312082839662164,0,0,0.0,218,28.6034059046352
20200308,Female,65 to 74,0,1,0.326985455686931,0,0,0.0,95,31.06361829025845
20200308,Female,75 to 84,0,0,0.0,0,0,0.0,32,16.664062906837472
20200308,Female,85plus,0,0,0.0,0,0,0.0,18,21.83803457688808
20200308,Female,Total,0,10,0.3570423752172603,0,0,0.0,1018,36.3469137971171
20200308,Male,0 to 14,0,0,0.0,0,0,0.0,230,52.19194837081699
20200308,Male,0 to 59,2,17,0.8421219491655562,0,0,0.0,839,41.56119502058245
20200308,Male,15 to 19,0,0,0.0,0,0,0.0,29,20.109980791501105
20200308,Male,20 to 24,0,0,0.0,0,0,0.0,47,27.120287128827137
20200308,Male,25 to 44,2,10,1.4115501502595134,0,0,0.0,285,40.22917928239614
20200308,Male,45 to 64,0,7,0.9684828025125212,0,0,0.0,312,43.1666620548438
20200308,Male,60+,1,3,0.4640356874379351,0,0,0.0,214,33.10121237057271
20200308,Male,65 to 74,1,3,1.0697513541269226,0,0,0.0,91,32.449124408516646
20200308,Male,75 to 84,0,0,0.0,0,0,0.0,48,32.1121785437127
20200308,Male,85plus,0,0,0.0,0,0,0.0,11,23.97245347164713
20200308,Male,Total,3,20,0.7504093482994973,0,0,0.0,1053,39.509052187968535
20200308,Total,0 to 14,0,0,0.0,0,0,0.0,408,47.45344793496086
20200308,Total,0 to 59,2,26,0.6408121949518294,0,0,0.0,1641,40.44510815061354
20200308,Total,15 to 19,0,0,0.0,0,0,0.0,58,20.55862753438253
20200308,Total,20 to 24,0,2,0.5852145542859651,0,0,0.0,131,38.33155330573072
20200308,Total,25 to 44,2,13,0.90826204058534,0,0,0.0,562,39.26486667761239
20200308,Total,45 to 64,0,11,0.7358105622261614,0,0,0.0,619,41.4060670925449
20200308,Total,60+,1,4,0.2839600212686056,0,0,0.0,432,30.667682297009407
20200308,Total,65 to 74,1,4,0.682287642235652,0,0,0.0,186,31.72637536395781
20200308,Total,75 to 84,0,0,0.0,0,0,0.0,80,23.42564991537484
20200308,Total,85plus,0,0,0.0,0,0,0.0,29,22.60133581688242
20200308,Total,Total,3,30,0.5488474204171241,0,0,0.0,2073,37.92535675082327
20200309,Female,0 to 14,0,0,0.0,0,0,0.0,212,50.58349975781957
20200309,Female,0 to 59,2,11,0.5395751385359169,0,0,0.0,915,44.88284106912399
20200309,Female,15 to 19,0,0,0.0,0,0,0.0,34,24.653223408960724
20200309,Female,20 to 24,0,2,1.187274788813497,0,0,0.0,90,53.42736549660736
20200309,Female,25 to 44,1,4,0.5533544345824387,0,0,0.0,319,44.13001615794949
20200309,Female,45 to 64,2,6,0.7770309646839426,0,0,0.0,342,44.29076498698473
20200309,Female,60+,1,2,0.2624165679324329,0,0,0.0,253,33.19569584345277
20200309,Female,65 to 74,0,1,0.326985455686931,0,0,0.0,104,34.00648739144083
20200309,Female,75 to 84,0,0,0.0,0,0,0.0,41,21.350830599385517
20200309,Female,85plus,0,0,0.0,0,0,0.0,26,31.54382772217167
20200309,Female,Total,3,13,0.4641550877824383,0,0,0.0,1168,41.702549425376
20200309,Male,0 to 14,0,0,0.0,0,0,0.0,265,60.1342013837674
